S0-T0,S0-T1,S0-T2,S0-T3,S0-T4,S0-T5,S0-T6,S0-T7,S0-T8,S0-T9,S1-T0,S1-T1,S1-T2,S1-T3,S1-T4,S1-T5,S1-T6,S1-T7,S1-T8,S1-T9,
movie (0.044),hours (0.027),robert (0.014),movie (0.069),really (0.017),movie (0.023),movie (0.017),movie (0.029),movie (0.028),movie (0.029),movie (0.023),movie (0.066),movie (0.011),monsters (0.015),film (0.014),movie (0.016),movie (0.018),movie (0.015),movie (0.029),movie (0.032),
time (0.043),oscar (0.017),game (0.013),one (0.024),movie (0.014),story (0.016),beginning (0.016),film (0.010),like (0.016),minutes (0.018),film (0.016),good (0.022),guy (0.007),movie (0.015),movie (0.014),great (0.011),good (0.013),great (0.013),fast (0.021),film (0.014),
waste (0.039),bad (0.015),jr (0.013),see (0.022),husband (0.013),plot (0.013),boring (0.015),like (0.010),film (0.011),scenes (0.012),story (0.011),film (0.020),plays (0.007),university (0.011),like (0.011),like (0.010),great (0.013),affleck (0.012),furious (0.015),good (0.010),
terrible (0.022),film (0.014),holmes (0.012),watch (0.018),plot (0.012),long (0.013),leo (0.012),just (0.009),just (0.011),little (0.011),people (0.009),great (0.020),gets (0.007),like (0.011),8 (0.009),funny (0.010),film (0.010),better (0.011),one (0.012),one (0.009),
awful (0.021),movie (0.014),movie (0.012),film (0.017),story (0.012),film (0.012),like (0.012),one (0.007),one (0.011),30 (0.011),love (0.009),end (0.018),like (0.007),see (0.010),will (0.009),frost (0.010),performance (0.010),ben (0.011),cars (0.011),like (0.009),
film (0.021),back (0.013),blah (0.011),time (0.015),get (0.011),scenes (0.010),plot (0.012),good (0.006),get (0.008),plot (0.011),like (0.007),action (0.015),lives (0.007),film (0.009),can (0.008),pegg (0.010),acting (0.010),best (0.011),action (0.010),great (0.009),
bad (0.019),get (0.013),good (0.011),seen (0.015),much (0.010),boring (0.008),police (0.012),story (0.006),another (0.007),character (0.010),one (0.007),story (0.015),bear (0.006),good (0.009),good (0.008),good (0.010),role (0.009),michael (0.011),just (0.010),story (0.008),
just (0.018),2 (0.012),guy (0.011),movies (0.014),wife (0.010),holes (0.008),acting (0.011),really (0.006),first (0.007),back (0.009),just (0.007),every (0.012),even (0.006),funny (0.009),jason (0.008),film (0.008),cast (0.009),fassbender (0.010),great (0.010),just (0.008),
lines (0.017),life (0.011),one (0.011),really (0.012),film (0.009),end (0.008),actor (0.010),time (0.005),joe (0.007),save (0.009),life (0.007),thriller (0.012),film (0.006),mike (0.009),really (0.008),simon (0.008),actors (0.008),jennifer (0.010),vin (0.009),really (0.006),
money (0.013),good (0.010),sherlock (0.011),good (0.012),instead (0.008),many (0.008),bad (0.010),see (0.005),performance (0.007),story (0.009),really (0.006),will (0.012),hype (0.006),paris (0.009),dealer (0.007),also (0.007),job (0.008),actor (0.008),like (0.009),movies (0.006),
acting (0.012),people (0.010),downey (0.010),just (0.011),something (0.007),e (0.007),better (0.010),will (0.005),shame (0.007),etc (0.008),can (0.006),done (0.011),thought (0.006),really (0.009),just (0.007),dead (0.007),ryan (0.008),film (0.008),best (0.008),action (0.006),
good (0.010),first (0.010),glass (0.009),best (0.011),still (0.007),far (0.007),ending (0.010),even (0.005),short (0.007),get (0.008),good (0.005),watch (0.011),will (0.006),inc (0.008),whole (0.007),movies (0.007),character (0.007),mcavoy (0.008),scenes (0.008),see (0.005),
watch (0.010),half (0.010),acting (0.008),ever (0.010),violence (0.007),sense (0.007),film (0.009),people (0.005),stupid (0.007),good (0.008),time (0.005),keep (0.011),words (0.006),played (0.008),battle (0.007),one (0.007),jackman (0.007),good (0.008),tokyo (0.007),will (0.005),
script (0.009),girl (0.009),film (0.008),watched (0.009),want (0.007),watched (0.007),scenes (0.009),get (0.005),things (0.007),will (0.008),see (0.005),make (0.010),attention (0.005),great (0.006),original (0.006),hot (0.007),performances (0.007),james (0.008),better (0.007),first (0.005),
wasted (0.009),dull (0.008),bad (0.006),go (0.009),better (0.006),just (0.006),average (0.008),can (0.005),little (0.006),film (0.007),many (0.005),twists (0.010),life (0.005),john (0.006),fan (0.006),seth (0.007),also (0.007),one (0.008),film (0.006),much (0.005),
10 (0.008),5 (0.008),dicaprio (0.006),will (0.008),can (0.006),make (0.006),go (0.008),much (0.004),can (0.006),leave (0.007),will (0.005),love (0.009),oscar (0.005),tom (0.006),make (0.006),big (0.007),really (0.006),x (0.008),neeson (0.006),characters (0.004),
kind (0.008),minutes (0.008),even (0.006),worth (0.008),end (0.006),everything (0.006),good (0.008),watch (0.004),dialog (0.006),amp (0.006),watch (0.004),really (0.009),plot (0.005),best (0.005),one (0.006),fan (0.007),oscar (0.006),pike (0.007),time (0.006),even (0.004),
making (0.008),never (0.008),story (0.006),first (0.008),everything (0.006),perfect (0.006),lame (0.008),little (0.004),great (0.006),bear (0.006),great (0.004),recommend (0.008),pretty (0.005),dali (0.005),seen (0.006),favorite (0.007),hugh (0.006),also (0.006),diesel (0.006),watch (0.004),
really (0.008),time (0.008),bear (0.006),like (0.008),hand (0.006),acting (0.005),much (0.008),movies (0.004),junk (0.006),development (0.006),also (0.004),awesome (0.008),story (0.005),fitzgerald (0.005),sudeikis (0.006),fuzz (0.007),one (0.006),role (0.006),drift (0.006),can (0.004),
utter (0.008),two (0.008),better (0.006),10 (0.007),many (0.006),argument (0.005),really (0.008),end (0.004),sick (0.006),left (0.006),even (0.004),edge (0.008),supposed (0.005),hardy (0.005),rated (0.005),nick (0.007),gosling (0.005),rosamund (0.006),good (0.006),also (0.004),
drivel (0.007),always (0.007),just (0.006),recommend (0.007),revenge (0.006),ben (0.005),8 (0.007),plot (0.004),also (0.005),line (0.006),way (0.004),suspense (0.008),anne (0.004),lot (0.005),2 (0.005),really (0.007),watch (0.005),played (0.005),series (0.006),funny (0.004),
review (0.007),end (0.007),character (0.005),watching (0.007),scenery (0.006),blood (0.005),ben (0.007),bad (0.004),believe (0.005),thought (0.006),character (0.004),overall (0.007),character (0.004),millers (0.005),hardy (0.005),comedy (0.006),best (0.005),professor (0.005),also (0.006),made (0.004),
truly (0.007),think (0.007),hugh (0.005),worst (0.007),poor (0.005),covered (0.005),character (0.007),think (0.003),fight (0.005),wish (0.006),best (0.004),plot (0.007),end (0.004),one (0.005),never (0.005),just (0.006),amazing (0.005),alert (0.005),liam (0.006),way (0.004),
want (0.007),watching (0.007),john (0.005),give (0.006),changed (0.005),entertainment (0.005),even (0.007),way (0.003),gets (0.005),can (0.005),years (0.004),seat (0.007),fact (0.004),hemingway (0.005),piece (0.005),love (0.006),just (0.004),characters (0.005),much (0.005),think (0.003),
worst (0.007),act (0.006),jude (0.005),money (0.006),girl (0.005),hour (0.005),just (0.007),great (0.003),kid (0.005),characters (0.005),real (0.003),acting (0.007),hunting (0.004),many (0.005),see (0.005),shaun (0.006),like (0.004),dicaprio (0.005),racing (0.005),better (0.003),
watching (0.007),best (0.006),performance (0.005),better (0.006),just (0.005),instead (0.005),nope (0.007),first (0.003),makers (0.005),life (0.005),characters (0.003),kept (0.007),just (0.004),plus (0.005),story (0.005),actors (0.006),roles (0.004),ehle (0.005),amp (0.005),make (0.003),
write (0.007),come (0.006),ralph (0.005),say (0.006),look (0.005),least (0.005),ridiculous (0.007),make (0.003),must (0.005),make (0.005),made (0.003),much (0.007),minutes (0.004),scott (0.005),suggest (0.005),emma (0.006),emma (0.004),lawrence (0.005),even (0.005),scenes (0.003),
like (0.006),loved (0.006),also (0.004),disappointed (0.006),money (0.005),part (0.005),watch (0.007),know (0.003),never (0.005),music (0.005),recommend (0.003),one (0.007),samantha (0.004),sully (0.005),edited (0.004),get (0.006),excellent (0.004),performances (0.005),franchise (0.004),love (0.003),
one (0.006),performance (0.006),ben (0.004),reviews (0.006),politics (0.005),seems (0.005),obvious (0.006),many (0.003),people (0.005),room (0.005),us (0.003),recommended (0.006),voice (0.004),2 (0.004),intelligent (0.004),cast (0.005),tom (0.004),scene (0.005),get (0.004),time (0.003),
say (0.006),raw (0.006),best (0.004),can (0.005),say (0.005),suspense (0.005),affleck (0.006),made (0.003),really (0.005),still (0.005),book (0.003),highly (0.006),without (0.004),actor (0.004),attack (0.004),craig (0.005),characters (0.004),spoiler (0.005),movies (0.004),people (0.003),
disappointed (0.005),also (0.006),cop (0.004),much (0.005),think (0.005),common (0.004),caprio (0.006),going (0.003),shot (0.005),thinking (0.005),know (0.003),line (0.006),based (0.004),characters (0.004),bear (0.004),david (0.005),played (0.004),story (0.005),rock (0.004),acting (0.003),
feel (0.005),script (0.006),dr (0.004),think (0.005),without (0.005),annoying (0.004),cheap (0.006),watching (0.003),story (0.005),boring (0.004),feel (0.003),movies (0.006),rated (0.004),however (0.004),dialogue (0.004),crazy (0.005),supporting (0.004),xavier (0.005),2 (0.004),original (0.003),
felt (0.005),son (0.006),etc (0.004),must (0.005),disappointing (0.004),big (0.004),di (0.006),characters (0.003),turkish (0.005),implausible (0.004),end (0.003),turns (0.006),acting (0.004),beautiful (0.004),disappoint (0.004),end (0.005),story (0.004),xmen (0.005),story (0.004),best (0.003),
give (0.005),wasted (0.006),fire (0.004),7 (0.005),holes (0.004),bit (0.004),leonardo (0.006),also (0.003),used (0.005),uninteresting (0.004),make (0.003),watching (0.006),amanda (0.004),original (0.004),drug (0.004),liked (0.005),waltz (0.004),original (0.004),back (0.004),plot (0.003),
words (0.005),worthy (0.006),fitzgerald (0.004),rating (0.005),little (0.004),dialogue (0.004),nature (0.006),life (0.003),world (0.005),absurd (0.004),man (0.003),beginning (0.006),barks (0.004),sad (0.004),end (0.004),see (0.005),actor (0.003),actors (0.004),end (0.004),films (0.003),
worth (0.005),book (0.005),give (0.004),saw (0.005),absolutely (0.004),flat (0.004),part (0.006),boring (0.003),disappointing (0.004),acting (0.004),slavery (0.003),enough (0.006),begins (0.004),hilariously (0.004),eva (0.004),better (0.005),especially (0.003),another (0.004),far (0.004),many (0.003),
anything (0.005),can (0.005),man (0.004),definitely (0.005),amy (0.004),full (0.004),stupid (0.006),better (0.003),obvious (0.004),actually (0.004),makes (0.003),guessing (0.006),carter (0.004),kind (0.004),even (0.004),hill (0.005),gyllenhaal (0.003),cast (0.004),last (0.004),say (0.003),
enough (0.005),definitely (0.005),rosamund (0.004),never (0.005),bad (0.004),go (0.004),annoying (0.005),action (0.003),action (0.004),bizarre (0.004),think (0.003),job (0.006),go (0.004),wick (0.004),ever (0.004),martin (0.005),stone (0.003),charles (0.004),lot (0.004),end (0.003),
minute (0.005),dragon (0.005),see (0.004),seeing (0.005),blame (0.004),home (0.004),called (0.005),character (0.003),affleck (0.004),clouds (0.004),black (0.002),throughout (0.006),good (0.004),based (0.003),excited (0.004),paul (0.005),jake (0.003),especially (0.004),love (0.004),actors (0.003),
need (0.005),guy (0.005),true (0.004),2 (0.005),cal (0.004),lacks (0.004),hardly (0.005),scenes (0.003),albania (0.004),decisions (0.004),help (0.002),till (0.006),neeson (0.004),amy (0.003),husband (0.004),rogen (0.005),lead (0.003),films (0.004),really (0.004),bad (0.003),
