User,Movie,Score,T0,T1,T2,T3,T4,T5,T6,U
018536/,tt0775440,5,"-0,04743083","-0,04743083","0,3873517787","-0,04743083","-0,2292490119","-0,2292490119","0,2134387352",1
018536/,tt1355631,6,"-0,0344086022","-0,0344086022","0,352688172","0,0301075269","-0,3010752688","-0,3010752688","0,288172043",1
018536/,tt1468846,7,"-0,0854700855","-0,0854700855","0,2735042735","-0,0854700855","-0,3076923077","-0,0854700855","0,3760683761",1
018536/,tt1473832,7,"-0,0126315789","-0,0126315789","0,4673684211","-0,0126315789","-0,1178947368","-0,5389473684","0,2273684211",1
018536/,tt1620935,8,"-0,0498960499","-0,0498960499","0,0582120582","-0,0498960499","-0,3575883576","-0,2037422037","0,6528066528",1
018536/,tt1711525,5,"0,059970015","-0,095952024","0,6116941529","-0,0089955022","-0,3568215892","-0,2698650675","0,059970015",1
018536/,tt1800302,6,"-0,0711111111","-0,0711111111","0,3288888889","-0,0711111111","-0,2933333333","-0,0711111111","0,2488888889",1
018536/,tt1878870,8,"-0,0766283525","-0,0076628352","0,061302682","-0,0766283525","-0,2298850575","-0,0766283525","0,4061302682",1
018536/,tt1895315,7,"0,0112044818","0,0112044818","0,5994397759","0,0112044818","-0,0840336134","-0,5602240896","0,0112044818",1
018536/,tt2368619,7,"-0,1125541126","-0,1125541126","0,3116883117","-0,1125541126","-0,1125541126","-0,1125541126","0,2510822511",1
018536/,tt2387499,8,"-0,0398860399","-0,1937321937","0,1082621083","-0,0398860399","-0,1937321937","-0,1937321937","0,5527065527",1
018536/,tt3499096,9,"-0,0659340659","-0,1172161172","0,3956043956","-0,1172161172","-0,1172161172","-0,1172161172","0,1391941392",1
018536/,tt3531824,8,0,0,"0,4210526316",0,"-0,1052631579","-0,5263157895","0,2105263158",1
018536/,tt4191580,4,"-0,0483516484","-0,0483516484","0,3516483516","-0,0483516484","-0,2021978022","-0,356043956","0,3516483516",1
018536/,tt4196848,10,"-0,0025542784","-0,0025542784","0,2043422733","-0,0025542784","-0,0766283525","-0,595146871","0,4750957854",1
018536/,tt4361050,5,"-0,0740740741","-0,0740740741","0,0740740741","-0,0740740741","-0,2962962963","-0,0740740741","0,5185185185",1
018536/,tt4501244,7,"-0,04743083","-0,04743083","0,2134387352","-0,04743083","-0,2292490119","-0,2292490119","0,3873517787",1
018536/,tt4572514,8,"-0,0466200466","-0,0466200466","0,1958041958","-0,0466200466","-0,2004662005","-0,3543123543","0,4988344988",1
018536/,tt4667094,4,"-0,0424403183","-0,0424403183","0,5092838196","-0,0424403183","-0,0424403183","-0,5039787798","0,1644562334",1
018536/,tt4824302,7,"-0,032183908","-0,032183908","0,3816091954","-0,032183908","-0,1655172414","-0,2988505747","0,1793103448",1
025752/,tt3495026,1,"-0,0064412238","-0,0064412238","0,0676328502","-0,0933977456","0,1417069243","-0,4412238325","0,3381642512",2
025752/,tt4387040,4,0,0,"0,4137931034","-0,0689655172",0,"-0,5517241379","0,2068965517",2
025752/,tt4434004,4,"-0,0072948328","-0,0072948328","0,503343465","-0,06443769","-0,0072948328","-0,6930091185","0,2759878419",2
025752/,tt4900716,1,"-0,0623376623","-0,0017316017","0,5125541126","-0,1229437229","0,1125541126","-0,49004329","0,0519480519",2
025752/,tt5286444,4,"0,0059127864","0,0059127864","0,1877309682","-0,0916481892","0,1877309682","-0,6770140429","0,3813747228",2
028700/,tt1083452,9,"-0,3063063063","-0,0840840841","0,5645645646","-0,0840840841","-0,0840840841","-0,0840840841","0,0780780781",3
028700/,tt1292566,4,"-0,1655172414","-0,032183908","0,6574712644","-0,032183908","-0,032183908","-0,432183908","0,0367816092",3
028700/,tt1473832,9,"-0,1142857143","-0,1142857143","0,5142857143","-0,1142857143",0,"-0,1142857143","-0,0571428571",3
028700/,tt1489889,7,"-0,1677419355","-0,0344086022","0,6107526882","0,0301075269","-0,0344086022","-0,4344086022","0,0301075269",3
028700/,tt1540011,1,"-0,0740740741","-0,0740740741","0,4444444444","-0,0740740741",0,"-0,2962962963","0,0740740741",3
028700/,tt1608290,4,"-0,2441558442","-0,0623376623","0,5662337662","-0,0051948052","-0,0623376623","-0,2441558442","0,0519480519",3
028700/,tt1700841,9,"-0,2356902357","-0,2356902357","0,6127946128","-0,0538720539","-0,0538720539","-0,0538720539","0,0202020202",3
028700/,tt1860213,5,"-0,1937321937","-0,0398860399","0,7008547009","-0,0398860399","-0,0398860399","-0,3475783476","-0,0398860399",3
028700/,tt1985949,6,"-0,5655172414","-0,032183908","0,6574712644","-0,032183908","-0,032183908","-0,032183908","0,0367816092",3
028700/,tt2005151,10,"-0,1494435612","-0,0317965024","0,6709062003","-0,0317965024","-0,1494435612","-0,3847376789","0,0763116057",3
028700/,tt2381991,7,"-0,2457002457","-0,0638820639","0,0786240786","0,0442260442","-0,0638820639","-0,0638820639","0,3144963145",3
028700/,tt2702724,4,"-0,1442125237","-0,0265654649","0,7476280835","-0,0265654649","-0,0265654649","-0,1442125237","-0,3795066414",3
028700/,tt2709768,7,"-0,2441558442","-0,0623376623","0,7376623377","-0,0623376623","-0,2441558442","-0,0623376623","-0,0623376623",3
028700/,tt2788732,9,"-0,1208576998","-0,0155945419","-0,0233918129","-0,0155945419","-0,0155945419","-0,0155945419","0,2066276803",3
028700/,tt2823054,7,"-0,1962864721","-0,1962864721","0,4933687003","-0,0424403183","-0,0424403183","-0,0424403183","0,0265251989",3
028700/,tt2937696,10,"-0,16","0,1333333333","0,5333333333","-0,0266666667","-0,0266666667","-0,4266666667","-0,0266666667",3
028700/,tt3014866,7,"-0,2404692082","-0,0586510264","0,5337243402","-0,0586510264","-0,0586510264","-0,0586510264","-0,0586510264",3
028700/,tt3231054,6,"-0,1937321937","-0,0398860399","0,6267806268","-0,0398860399","-0,1937321937","-0,1937321937","0,0341880342",3
028700/,tt3381008,6,"-0,2424242424","-0,0606060606","0,4848484848","-0,0606060606","-0,0606060606","-0,0606060606",0,3
028700/,tt3387542,3,"-0,2356902357","-0,0538720539","0,6127946128","-0,0538720539","-0,0538720539","-0,2356902357","0,0202020202",3
